home_team_id,away_team_id,home_win,sequenceNumber,homeWinProbability,homeScore,scoringPlay,priority,statYardage,awayScore,wallclock,modified,id,text,period.number,start.distance,start.yardLine,start.team.id,start.down,start.yardsToEndzone,clock.displayValue,type.id,type.text,type.abbreviation,end.shortDownDistanceText,end.possessionText,end.downDistanceText,end.distance,end.yardLine,end.team.id,end.down,end.yardsToEndzone,start.shortDownDistanceText,start.possessionText,start.downDistanceText,scoringType.displayName,scoringType.name,scoringType.abbreviation,minutes_remaining,game_completed,phat_A,phat_B,Y
4.0,33.0,1.0,100,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.44,1.0
,,,3600,0.433,0.0,False,False,0.0,0.0,2018-09-14T00:22:45Z,2018-09-30T09:48Z,40103069036.0,"R.Bullock kicks 65 yards from CIN 35 to end zone, Touchback.",1.0,0.0,35.0,4.0,0.0,65.0,15:00,53.0,Kickoff,K,1st & 10,BAL 25,1st & 10 at BAL 25,10.0,75.0,33.0,1.0,75.0,,,,,,,60.0,0.0,0.433,0.44,1.0
,,,6000,0.464,0.0,False,False,0.0,0.0,2018-09-14T00:23:26Z,2018-09-30T09:48Z,40103069060.0,(15:00) (Shotgun) J.Flacco pass incomplete short middle to M.Crabtree (H.Nickerson).,1.0,10.0,75.0,33.0,1.0,75.0,15:00,3.0,Pass Incompletion,,2nd & 10,BAL 25,2nd & 10 at BAL 25,10.0,75.0,33.0,2.0,75.0,1st & 10,BAL 25,1st & 10 at BAL 25,,,,60.0,0.0,0.464,0.44,1.0
,,,8200,0.532,0.0,False,False,1.0,0.0,2018-09-14T00:24:02Z,2018-09-30T09:48Z,40103069082.0,(14:57) A.Collins right tackle to BLT 26 for 1 yard (D.Kirkpatrick; N.Vigil).,1.0,10.0,75.0,33.0,2.0,75.0,14:57,5.0,Rush,RUSH,2nd & 11,BAL 26,2nd & 11 at BAL 26,11.0,74.0,4.0,2.0,79.0,2nd & 10,BAL 25,2nd & 10 at BAL 25,,,,59.95,0.08333333333332416,0.532,0.44,1.0
,,,10300,0.502,0.0,False,False,-1.0,0.0,2018-09-14T00:24:43Z,2018-09-30T09:48Z,401030690103.0,(14:15) (Shotgun) J.Flacco sacked at BLT 25 for -1 yards (G.Atkins).,1.0,9.0,74.0,33.0,3.0,74.0,14:15,7.0,Sack,,4th & 11,BAL 25,4th & 11 at BAL 25,11.0,75.0,4.0,4.0,80.0,3rd & 9,BAL 26,3rd & 9 at BAL 26,,,,59.25,1.2499999999999956,0.502,0.44,1.0
,,,12200,0.427,0.0,False,False,16.0,0.0,2018-09-14T00:25:21Z,2018-09-30T09:48Z,401030690122.0,"(13:37) S.Koch punts 55 yards to CIN 20, Center-M.Cox. D.Phillips MUFFS catch, and recovers at CIN 15. D.Phillips to CIN 31 for 16 yards (J.Allen).",1.0,10.0,75.0,33.0,4.0,75.0,13:37,52.0,Punt,PUNT,4th & 11,CIN 31,4th & 11 at CIN 31,11.0,31.0,4.0,4.0,69.0,4th & 10,BAL 25,4th & 10 at BAL 25,,,,58.61666666666667,2.3055555555555496,0.427,0.44,1.0
,,,16000,0.462,0.0,False,False,-1.0,0.0,2018-09-14T00:26:17Z,2018-09-30T09:48Z,401030690160.0,(13:24) J.Mixon left tackle to CIN 30 for -1 yards (C.Wormley).,1.0,10.0,31.0,4.0,1.0,69.0,13:24,5.0,Rush,RUSH,2nd & 11,CIN 30,2nd & 11 at CIN 30,11.0,30.0,4.0,2.0,70.0,1st & 10,CIN 31,1st & 10 at CIN 31,,,,58.4,2.6666666666666727,0.462,0.44,1.0
,,,18100,0.448,0.0,False,False,0.0,0.0,2018-09-14T00:26:55Z,2018-09-30T09:48Z,401030690181.0,(12:46) (Shotgun) A.Dalton pass incomplete short right to A.Green (E.Weddle).,1.0,11.0,30.0,4.0,2.0,70.0,12:46,3.0,Pass Incompletion,,3rd & 11,CIN 30,3rd & 11 at CIN 30,11.0,30.0,4.0,3.0,70.0,2nd & 11,CIN 30,2nd & 11 at CIN 30,,,,57.766666666666666,3.7222222222222268,0.448,0.44,1.0
,,,21500,0.417,0.0,False,False,0.0,0.0,2018-09-14T00:27:44Z,2018-09-30T09:48Z,401030690215.0,"(12:41) (Shotgun) A.Dalton pass incomplete deep middle to T.Boyd. BLT-C.Mosley was injured during the play. His return is Questionable.  Penalty on CIN-G.Bernard, Tripping, declined.",1.0,11.0,30.0,4.0,3.0,64.0,12:41,3.0,Pass Incompletion,,2nd & 21,CIN 30,2nd & 21 at CIN 30,21.0,30.0,33.0,2.0,70.0,3rd & 11,CIN 30,3rd & 11 at CIN 30,,,,57.68333333333334,3.861111111111104,0.417,0.44,1.0
,,,23700,0.42,0.0,False,False,-5.0,0.0,2018-09-14T00:28:40Z,2018-09-30T09:48Z,401030690237.0,"(12:37) (Punt formation) PENALTY on CIN-B.Wilson, False Start, 5 yards, enforced at CIN 30 - No Play.",1.0,11.0,30.0,4.0,4.0,70.0,12:37,8.0,Penalty,PEN,4th & 16,CIN 25,4th & 16 at CIN 25,16.0,25.0,4.0,4.0,75.0,4th & 11,CIN 30,4th & 11 at CIN 30,,,,57.61666666666667,3.9722222222222214,0.42,0.44,1.0
,,,30400,0.584,0.0,False,False,-2.0,0.0,2018-09-14T00:29:14Z,2018-09-30T09:48Z,401030690304.0,"(12:37) K.Huber punts 55 yards to BLT 20, Center-C.Harris. J.Grant to BLT 22 for 2 yards (T.McRae; C.Fejedelem). FUMBLES (T.McRae), recovered by BLT-T.Young at BLT 18. T.Young to BLT 18 for no gain (V.Rey).",1.0,16.0,25.0,4.0,4.0,75.0,12:37,52.0,Punt,PUNT,1st & 10,BAL 18,1st & 10 at BAL 18,10.0,82.0,4.0,1.0,82.0,4th & 16,CIN 25,4th & 16 at CIN 25,,,,57.61666666666667,3.9722222222222214,0.584,0.44,1.0
,,,34500,0.589,0.0,False,False,21.0,0.0,2018-09-14T00:32:18Z,2018-09-30T09:48Z,401030690345.0,(12:24) (Shotgun) J.Flacco pass deep right intended for M.Crabtree INTERCEPTED by J.Bates at BLT 37. J.Bates to BLT 16 for 21 yards (M.Crabtree).,1.0,10.0,82.0,33.0,1.0,82.0,12:24,26.0,Pass Interception Return,INTR,1st & 10,BAL 16,1st & 10 at BAL 16,10.0,84.0,4.0,1.0,16.0,1st & 10,BAL 18,1st & 10 at BAL 18,,,,57.4,4.333333333333334,0.589,0.44,1.0
,,,37100,0.551,0.0,False,False,0.0,0.0,2018-09-14T00:33:25Z,2018-09-30T09:48Z,401030690371.0,"(12:13) (Shotgun) A.Dalton pass deep right intended for A.Green INTERCEPTED by E.Weddle (B.Carr) at BLT -2. Touchback. The Replay Official reviewed the interception ruling, and the play was REVERSED. (Shotgun) A.Dalton pass incomplete deep right to A.Green (B.Carr).",1.0,10.0,84.0,4.0,1.0,16.0,12:13,3.0,Pass Incompletion,,2nd & 10,BAL 16,2nd & 10 at BAL 16,10.0,84.0,4.0,2.0,16.0,1st & 10,BAL 16,1st & 10 at BAL 16,,,,57.21666666666667,4.638888888888881,0.551,0.44,1.0
,,,44900,0.557,0.0,False,False,4.0,0.0,2018-09-14T00:37:30Z,2018-09-30T09:48Z,401030690449.0,(12:08) (Shotgun) J.Mixon right tackle to BLT 12 for 4 yards (B.Urban; M.Pierce).,1.0,10.0,84.0,4.0,2.0,16.0,12:08,5.0,Rush,RUSH,3rd & 6,BAL 12,3rd & 6 at BAL 12,6.0,88.0,4.0,3.0,12.0,2nd & 10,BAL 16,2nd & 10 at BAL 16,,,,57.13333333333333,4.77777777777778,0.557,0.44,1.0
,,,47000,0.638,0.0,False,False,11.0,0.0,2018-09-14T00:38:11Z,2018-09-30T09:48Z,401030690470.0,"(11:27) (Shotgun) A.Dalton pass incomplete short right to T.Eifert. PENALTY on BLT-T.Jefferson, Defensive Pass Interference, 11 yards, enforced at BLT 12 - No Play.",1.0,6.0,88.0,4.0,3.0,12.0,11:27,3.0,Pass Incompletion,,1st & 10,BAL 1,1st & 10 at BAL 1,10.0,99.0,4.0,1.0,1.0,3rd & 6,BAL 12,3rd & 6 at BAL 12,,,,56.45,5.916666666666659,0.638,0.44,1.0
,,,50300,0.594,0.0,False,False,-3.0,0.0,2018-09-14T00:39:11Z,2018-09-30T09:48Z,401030690503.0,(11:22) J.Mixon right end to BLT 4 for -3 yards (M.Humphrey).,1.0,1.0,99.0,4.0,1.0,1.0,11:22,5.0,Rush,RUSH,2nd & Goal,BAL 4,2nd & Goal at BAL 4,4.0,96.0,4.0,2.0,4.0,1st & Goal,BAL 1,1st & Goal at BAL 1,,,,56.36666666666667,6.055555555555559,0.594,0.44,1.0
,,,52400,0.635,7.0,True,False,4.0,0.0,2018-09-14T00:39:53Z,2018-09-30T09:48Z,401030690524.0,"A.J. Green Pass From Andy Dalton for 4 Yrds R.Bullock extra point is GOOD, Center-C.Harris, Holder-K.Huber.",1.0,4.0,96.0,4.0,2.0,4.0,10:35,67.0,Passing Touchdown,TD,,,,10.0,100.0,4.0,-1.0,15.0,2nd & Goal,BAL 4,2nd & Goal at BAL 4,Touchdown,touchdown,TD,55.583333333333336,7.361111111111107,0.635,0.44,1.0
,,,56500,0.625,7.0,False,False,32.0,0.0,2018-09-14T00:43:36Z,2018-09-30T09:48Z,401030690565.0,R.Bullock kicks 68 yards from CIN 35 to BLT -3. J.Grant pushed ob at BLT 29 for 32 yards (D.Dennard).,1.0,0.0,103.0,4.0,0.0,65.0,10:35,12.0,Kickoff Return (Offense),,,,,10.0,71.0,33.0,-1.0,99.0,,,,,,,55.583333333333336,7.361111111111107,0.625,0.44,1.0
,,,60200,0.665,7.0,False,False,-5.0,0.0,2018-09-14T00:44:28Z,2018-09-30T09:48Z,401030690602.0,"(10:30) PENALTY on BLT-N.Boyle, False Start, 5 yards, enforced at BLT 29 - No Play.",1.0,10.0,71.0,33.0,1.0,71.0,10:30,8.0,Penalty,PEN,1st & 15,BAL 24,1st & 15 at BAL 24,15.0,76.0,33.0,1.0,76.0,1st & 10,BAL 29,1st & 10 at BAL 29,,,,55.5,7.499999999999996,0.665,0.44,1.0
,,,62500,0.646,7.0,False,False,7.0,0.0,2018-09-14T00:44:57Z,2018-09-30T09:48Z,401030690625.0,(10:30) A.Collins right guard to BLT 31 for 7 yards (J.Evans).,1.0,15.0,76.0,33.0,1.0,76.0,10:30,5.0,Rush,RUSH,2nd & 8,BAL 31,2nd & 8 at BAL 31,8.0,69.0,33.0,2.0,69.0,1st & 15,BAL 24,1st & 15 at BAL 24,,,,55.5,7.499999999999996,0.646,0.44,1.0
,,,64600,0.599,7.0,False,False,16.0,0.0,2018-09-14T00:45:30Z,2018-09-30T09:48Z,401030690646.0,(9:56) J.Flacco pass short middle to M.Crabtree to BLT 47 for 16 yards (J.Bates).,1.0,8.0,69.0,33.0,2.0,69.0,9:56,24.0,Pass Reception,REC,1st & 10,BAL 47,1st & 10 at BAL 47,10.0,53.0,33.0,1.0,53.0,2nd & 8,BAL 31,2nd & 8 at BAL 31,,,,54.93333333333334,8.444444444444443,0.599,0.44,1.0
,,,67000,0.67,7.0,False,False,-11.0,0.0,2018-09-14T00:46:10Z,2018-09-30T09:48Z,401030690670.0,(9:16) (Shotgun) J.Flacco sacked at BLT 36 for -11 yards (S.Hubbard).,1.0,10.0,53.0,33.0,1.0,53.0,9:16,7.0,Sack,,2nd & 21,BAL 36,2nd & 21 at BAL 36,21.0,64.0,33.0,2.0,64.0,1st & 10,BAL 47,1st & 10 at BAL 47,,,,54.266666666666666,9.55555555555556,0.67,0.44,1.0
,,,71600,0.721,7.0,False,False,14.0,0.0,2018-09-14T00:47:12Z,2018-09-30T09:48Z,401030690716.0,"(9:03) {BLT #8, L.Jackson, in at QB} (Shotgun) A.Collins right end to 50 for 14 yards (H.Nickerson).",1.0,21.0,64.0,33.0,2.0,64.0,9:03,5.0,Rush,RUSH,1st & 10,50,1st & 10 at 50,10.0,50.0,4.0,1.0,50.0,2nd & 21,BAL 36,2nd & 21 at BAL 36,,,,54.05,9.916666666666673,0.721,0.44,1.0
,,,73700,0.598,7.0,False,False,0.0,0.0,2018-09-14T00:47:54Z,2018-09-30T09:48Z,401030690737.0,(8:21) {J.Flacco back at QB} (Shotgun) J.Flacco pass incomplete deep right to M.Crabtree.,1.0,7.0,50.0,33.0,3.0,12.0,8:21,3.0,Pass Incompletion,,1st & 10,50,1st & 10 at 50,10.0,50.0,33.0,1.0,50.0,3rd & 7,50,3rd & 7 at 50,,,,53.35,11.083333333333334,0.598,0.44,1.0
,,,75900,0.684,7.0,False,False,0.0,0.0,2018-09-14T00:48:31Z,2018-09-30T09:48Z,401030690759.0,"(8:17) S.Koch punts 50 yards to end zone, Center-M.Cox, Touchback.",1.0,7.0,50.0,33.0,4.0,50.0,8:17,52.0,Punt,PUNT,,,,10.0,0.0,4.0,1.0,80.0,4th & 7,50,4th & 7 at 50,,,,53.28333333333333,11.194444444444452,0.684,0.44,1.0
,,,77600,0.645,7.0,False,False,29.0,0.0,2018-09-14T00:51:26Z,2018-09-30T09:48Z,401030690776.0,(8:10) A.Dalton pass short right to C.Uzomah to CIN 49 for 29 yards (E.Weddle) [M.Judon].,1.0,10.0,20.0,4.0,1.0,80.0,8:10,24.0,Pass Reception,REC,2nd & 14,CIN 49,2nd & 14 at CIN 49,14.0,49.0,33.0,2.0,51.0,1st & 10,CIN 20,1st & 10 at CIN 20,,,,53.166666666666664,11.388888888888893,0.645,0.44,1.0
,,,80800,0.739,7.0,False,False,11.0,0.0,2018-09-14T00:52:01Z,2018-09-30T09:48Z,401030690808.0,(7:36) (Shotgun) G.Bernard left end to BLT 40 for 11 yards (T.Jefferson).,1.0,10.0,49.0,4.0,1.0,51.0,7:36,5.0,Rush,RUSH,1st & 10,BAL 40,1st & 10 at BAL 40,10.0,60.0,4.0,1.0,40.0,1st & 10,CIN 49,1st & 10 at CIN 49,,,,52.6,12.333333333333329,0.739,0.44,1.0
,,,82900,0.755,7.0,False,False,8.0,0.0,2018-09-14T00:52:33Z,2018-09-30T09:48Z,401030690829.0,(7:03) (Shotgun) A.Dalton pass short left to G.Bernard pushed ob at BLT 32 for 8 yards (M.Humphrey).,1.0,10.0,60.0,4.0,1.0,40.0,7:03,24.0,Pass Reception,REC,2nd & 2,BAL 32,2nd & 2 at BAL 32,2.0,68.0,4.0,2.0,32.0,1st & 10,BAL 40,1st & 10 at BAL 40,,,,52.05,13.250000000000007,0.755,0.44,1.0
,,,85800,0.701,7.0,False,False,0.0,0.0,2018-09-14T00:53:03Z,2018-09-30T09:48Z,401030690858.0,(6:37) (Shotgun) A.Dalton pass incomplete short left to G.Bernard (T.Suggs).,1.0,2.0,68.0,4.0,2.0,79.0,6:37,3.0,Pass Incompletion,,4th & 14,BAL 32,4th & 14 at BAL 32,14.0,68.0,33.0,4.0,32.0,2nd & 2,BAL 32,2nd & 2 at BAL 32,,,,51.61666666666667,13.97222222222222,0.701,0.44,1.0
,,,88000,0.814,14.0,True,False,32.0,0.0,2018-09-14T00:53:47Z,2018-09-30T09:48Z,401030690880.0,A.J. Green 32 Yd pass from Andy Dalton (Randy Bullock Kick),1.0,2.0,68.0,4.0,3.0,32.0,6:26,67.0,Passing Touchdown,TD,,,,10.0,100.0,4.0,-1.0,15.0,3rd & 2,BAL 32,3rd & 2 at BAL 32,Touchdown,touchdown,TD,51.43333333333334,14.277777777777768,0.814,0.44,1.0
,,,92100,0.81,14.0,False,False,0.0,0.0,2018-09-14T00:55:54Z,2018-09-30T09:48Z,401030690921.0,"R.Bullock kicks 65 yards from CIN 35 to end zone, Touchback.",1.0,0.0,35.0,4.0,0.0,65.0,6:26,53.0,Kickoff,K,1st & 10,BAL 25,1st & 10 at BAL 25,10.0,75.0,33.0,1.0,75.0,,,,,,,51.43333333333334,14.277777777777768,0.81,0.44,1.0
,,,93600,0.827,14.0,False,False,1.0,0.0,2018-09-14T00:56:39Z,2018-09-30T09:48Z,401030690936.0,(6:26) A.Collins left tackle to BLT 26 for 1 yard (J.Evans).,1.0,10.0,75.0,33.0,1.0,75.0,6:26,5.0,Rush,RUSH,2nd & 9,BAL 26,2nd & 9 at BAL 26,9.0,74.0,33.0,2.0,74.0,1st & 10,BAL 25,1st & 10 at BAL 25,,,,51.43333333333334,14.277777777777768,0.827,0.44,1.0
,,,95700,0.844,14.0,False,False,-5.0,0.0,2018-09-14T00:57:19Z,2018-09-30T09:48Z,401030690957.0,"(5:43) PENALTY on BLT-N.Boyle, False Start, 5 yards, enforced at BLT 26 - No Play.",1.0,9.0,74.0,33.0,2.0,74.0,5:43,8.0,Penalty,PEN,2nd & 14,BAL 21,2nd & 14 at BAL 21,14.0,79.0,33.0,2.0,79.0,2nd & 9,BAL 26,2nd & 9 at BAL 26,,,,50.71666666666667,15.472222222222221,0.844,0.44,1.0
,,,98000,0.84,14.0,False,False,5.0,0.0,2018-09-14T00:58:00Z,2018-09-30T09:48Z,401030690980.0,(5:28) (Shotgun) J.Flacco pass short right to W.Snead IV to BLT 26 for 5 yards (H.Nickerson).,1.0,14.0,79.0,33.0,2.0,79.0,5:28,24.0,Pass Reception,REC,3rd & 9,BAL 26,3rd & 9 at BAL 26,9.0,74.0,33.0,3.0,74.0,2nd & 14,BAL 21,2nd & 14 at BAL 21,,,,50.46666666666667,15.888888888888886,0.84,0.44,1.0
,,,100400,0.895,14.0,False,False,-5.0,0.0,2018-09-14T00:58:39Z,2018-09-30T09:48Z,4010306901004.0,(4:49) (Shotgun) J.Flacco sacked at BLT 21 for -5 yards (G.Atkins).,1.0,9.0,74.0,33.0,3.0,74.0,4:49,7.0,Sack,,2nd & 4,BAL 21,2nd & 4 at BAL 21,4.0,79.0,4.0,2.0,79.0,3rd & 9,BAL 26,3rd & 9 at BAL 26,,,,49.81666666666666,16.972222222222232,0.895,0.44,1.0
,,,102300,0.856,14.0,False,False,8.0,0.0,2018-09-14T00:59:22Z,2018-09-30T09:48Z,4010306901023.0,"(4:06) S.Koch punts 59 yards to CIN 20, Center-M.Cox. D.Phillips to CIN 28 for 8 yards (K.Young).",1.0,14.0,79.0,33.0,4.0,79.0,4:06,52.0,Punt,PUNT,1st & 10,CIN 28,1st & 10 at CIN 28,10.0,28.0,4.0,1.0,72.0,4th & 14,BAL 21,4th & 14 at BAL 21,,,,49.1,18.166666666666664,0.856,0.44,1.0
,,,104800,0.866,14.0,False,False,11.0,0.0,2018-09-14T01:00:19Z,2018-09-30T09:48Z,4010306901048.0,(3:55) J.Mixon right guard to CIN 39 for 11 yards (M.Humphrey).,1.0,10.0,28.0,4.0,1.0,72.0,3:55,5.0,Rush,RUSH,1st & 10,CIN 39,1st & 10 at CIN 39,10.0,39.0,4.0,1.0,61.0,1st & 10,CIN 28,1st & 10 at CIN 28,,,,48.916666666666664,18.47222222222222,0.866,0.44,1.0
,,,106900,0.851,14.0,False,False,1.0,0.0,2018-09-14T01:00:55Z,2018-09-30T09:48Z,4010306901069.0,(3:19) (Shotgun) J.Mixon up the middle to CIN 40 for 1 yard (T.Jefferson; M.Pierce).,1.0,10.0,39.0,4.0,1.0,61.0,3:19,5.0,Rush,RUSH,2nd & 9,CIN 40,2nd & 9 at CIN 40,9.0,40.0,4.0,2.0,60.0,1st & 10,CIN 39,1st & 10 at CIN 39,,,,48.31666666666666,19.472222222222225,0.851,0.44,1.0
,,,109000,0.891,14.0,False,False,27.0,0.0,2018-09-14T01:01:30Z,2018-09-30T09:48Z,4010306901090.0,(2:44) (Pass formation) A.Dalton pass deep left to T.Boyd to BLT 33 for 27 yards (T.Jefferson).,1.0,9.0,40.0,4.0,2.0,60.0,2:44,24.0,Pass Reception,REC,1st & 10,BAL 33,1st & 10 at BAL 33,10.0,67.0,4.0,1.0,33.0,2nd & 9,CIN 40,2nd & 9 at CIN 40,,,,47.733333333333334,20.444444444444443,0.891,0.44,1.0
,,,111400,0.881,14.0,False,False,6.0,0.0,2018-09-14T01:02:02Z,2018-09-30T09:48Z,4010306901114.0,(2:13) (Shotgun) A.Dalton pass short right to T.Boyd pushed ob at BLT 27 for 6 yards (T.Young).,1.0,10.0,67.0,4.0,1.0,33.0,2:13,24.0,Pass Reception,REC,3rd & 7,BAL 27,3rd & 7 at BAL 27,7.0,73.0,4.0,3.0,27.0,1st & 10,BAL 33,1st & 10 at BAL 33,,,,47.21666666666667,21.305555555555557,0.881,0.44,1.0
,,,114300,0.904,14.0,False,False,5.0,0.0,2018-09-14T01:02:43Z,2018-09-30T09:48Z,4010306901143.0,(1:36) (Shotgun) J.Mixon right tackle to BLT 22 for 5 yards (P.Onwuasor; B.Williams).,1.0,4.0,73.0,4.0,2.0,27.0,1:36,5.0,Rush,RUSH,1st & 10,BAL 22,1st & 10 at BAL 22,10.0,78.0,4.0,1.0,22.0,2nd & 4,BAL 27,2nd & 4 at BAL 27,,,,46.6,22.33333333333333,0.904,0.44,1.0
,,,116400,0.905,14.0,False,False,5.0,0.0,2018-09-14T01:03:12Z,2018-09-30T09:48Z,4010306901164.0,(1:08) (Shotgun) J.Mixon left guard to BLT 17 for 5 yards (T.Young). CIN-B.Price was injured during the play.,1.0,10.0,78.0,4.0,1.0,22.0,1:08,5.0,Rush,RUSH,2nd & 5,BAL 17,2nd & 5 at BAL 17,5.0,83.0,4.0,2.0,17.0,1st & 10,BAL 22,1st & 10 at BAL 22,,,,46.13333333333333,23.111111111111114,0.905,0.44,1.0
,,,118800,0.917,14.0,False,False,5.0,0.0,2018-09-14T01:05:29Z,2018-09-30T09:48Z,4010306901188.0,(:42) (Shotgun) A.Dalton pass short left to T.Kroft to BLT 12 for 5 yards (K.Young).,1.0,5.0,83.0,4.0,2.0,17.0,0:42,24.0,Pass Reception,REC,1st & 10,BAL 12,1st & 10 at BAL 12,10.0,88.0,4.0,1.0,12.0,2nd & 5,BAL 17,2nd & 5 at BAL 17,,,,45.7,23.83333333333333,0.917,0.44,1.0
,,,121200,0.9,14.0,False,False,0.0,0.0,2018-09-14T01:06:05Z,2018-09-30T09:48Z,4010306901212.0,(:06) (Shotgun) A.Dalton pass incomplete short middle to T.Eifert (T.Jefferson).,1.0,10.0,88.0,4.0,1.0,12.0,0:06,3.0,Pass Incompletion,,2nd & 10,BAL 12,2nd & 10 at BAL 12,10.0,88.0,4.0,2.0,12.0,1st & 10,BAL 12,1st & 10 at BAL 12,,,,45.1,24.83333333333333,0.9,0.44,1.0
,,,124600,0.887,14.0,False,False,-3.0,0.0,2018-09-14T01:06:45Z,2018-09-30T09:48Z,4010306901246.0,(:02) J.Ross right end to BLT 15 for -3 yards (M.Judon). {end around},1.0,10.0,88.0,4.0,2.0,12.0,0:02,5.0,Rush,RUSH,3rd & 13,BAL 15,3rd & 13 at BAL 15,13.0,85.0,4.0,3.0,15.0,2nd & 10,BAL 12,2nd & 10 at BAL 12,,,,45.03333333333333,24.944444444444446,0.887,0.44,1.0
,,,127100,0.888,14.0,False,False,0.0,0.0,2018-09-14T01:06:45Z,2018-09-30T09:48Z,4010306901271.0,END QUARTER 1,1.0,0.0,0.0,,3.0,15.0,0:00,2.0,End Period,EP,3rd & 13,BAL 15,3rd & 13 at BAL 15,13.0,85.0,4.0,3.0,15.0,,,,,,,45.0,25.0,0.888,0.44,1.0
,,,128800,0.922,14.0,False,False,5.0,0.0,2018-09-14T01:09:49Z,2018-09-30T09:48Z,4010306901288.0,"(15:00) (Shotgun) A.Dalton pass short right to G.Bernard to BLT 14 for 1 yard (A.Levine Sr.). PENALTY on BLT-T.Suggs, Illegal Use of Hands, 5 yards, enforced at BLT 15 - No Play.",2.0,13.0,85.0,4.0,3.0,15.0,15:00,24.0,Pass Reception,REC,1st & 10,BAL 10,1st & 10 at BAL 10,10.0,90.0,4.0,1.0,13.0,3rd & 13,BAL 15,3rd & 13 at BAL 15,,,,45.0,25.0,0.922,0.44,1.0
,,,132400,0.903,14.0,False,False,0.0,0.0,2018-09-14T01:10:51Z,2018-09-30T09:48Z,4010306901324.0,(14:34) J.Mixon up the middle to BLT 10 for no gain (K.Young).,2.0,10.0,90.0,4.0,1.0,10.0,14:34,5.0,Rush,RUSH,2nd & Goal,BAL 10,2nd & Goal at BAL 10,10.0,90.0,4.0,2.0,10.0,1st & Goal,BAL 10,1st & Goal at BAL 10,,,,44.56666666666666,25.722222222222225,0.903,0.44,1.0
,,,134500,0.904,14.0,False,False,3.0,0.0,2018-09-14T01:11:35Z,2018-09-30T09:48Z,4010306901345.0,(13:50) A.Dalton pass short right to J.Mixon to BLT 7 for 3 yards (K.Young; B.Carr).,2.0,10.0,90.0,4.0,2.0,10.0,13:50,24.0,Pass Reception,REC,3rd & Goal,BAL 7,3rd & Goal at BAL 7,7.0,93.0,4.0,3.0,7.0,2nd & Goal,BAL 10,2nd & Goal at BAL 10,,,,43.833333333333336,26.944444444444436,0.904,0.44,1.0
