home_team_id,away_team_id,home_win,sequenceNumber,homeWinProbability,homeScore,scoringPlay,priority,statYardage,awayScore,wallclock,modified,id,text,period.number,start.distance,start.yardLine,start.team.id,start.down,start.yardsToEndzone,clock.displayValue,type.id,type.text,type.abbreviation,end.shortDownDistanceText,end.possessionText,end.downDistanceText,end.distance,end.yardLine,end.team.id,end.down,end.yardsToEndzone,start.shortDownDistanceText,start.possessionText,start.downDistanceText,scoringType.displayName,scoringType.name,scoringType.abbreviation,minutes_remaining,game_completed,phat_A,phat_B,Y
,,,268800,0.947,28.0,False,False,0.0,7.0,2018-09-14T01:58:56Z,2018-09-30T09:48Z,4010306902671.0,Timeout #3 by BLT at 00:16.,2.0,1.0,1.0,33.0,2.0,1.0,0:16,21.0,Timeout,TO,2nd & Goal,CIN 1,2nd & Goal at CIN 1,1.0,1.0,33.0,2.0,1.0,,,,,,,30.266666666666666,49.55555555555555,0.947,0.44,1.0
,,,270500,0.949,28.0,False,False,0.0,7.0,2018-09-14T02:00:35Z,2018-09-30T09:48Z,4010306902688.0,Timeout #2 by CIN at 00:16.,2.0,1.0,1.0,33.0,2.0,1.0,0:16,21.0,Timeout,TO,2nd & Goal,CIN 1,2nd & Goal at CIN 1,1.0,1.0,33.0,2.0,1.0,,,,,,,30.266666666666666,49.55555555555555,0.949,0.44,1.0
,,,272700,0.907,28.0,False,False,0.0,7.0,2018-09-14T02:01:25Z,2018-09-30T09:48Z,4010306902705.0,(:16) (Shotgun) J.Flacco pass incomplete short left to J.Brown.,2.0,1.0,1.0,33.0,2.0,1.0,0:16,3.0,Pass Incompletion,,3rd & Goal,CIN 1,3rd & Goal at CIN 1,1.0,1.0,33.0,3.0,1.0,2nd & Goal,CIN 1,2nd & Goal at CIN 1,,,,30.266666666666666,49.55555555555555,0.907,0.44,1.0
,,,276800,0.909,28.0,True,False,1.0,14.0,2018-09-14T02:02:08Z,2018-09-30T09:48Z,4010306902727.0,"Mark Andrews Pass From Joe Flacco for 1 Yard J.Tucker extra point is GOOD, Center-M.Cox, Holder-S.Koch.",2.0,1.0,1.0,33.0,3.0,1.0,0:08,67.0,Passing Touchdown,TD,,,,10.0,0.0,33.0,-1.0,15.0,3rd & Goal,CIN 1,3rd & Goal at CIN 1,Touchdown,touchdown,TD,30.133333333333333,49.77777777777778,0.909,0.44,1.0
,,,279400,0.919,28.0,False,False,11.0,14.0,2018-09-14T02:04:05Z,2018-09-30T09:48Z,4010306902768.0,"J.Tucker kicks 37 yards from BLT 35 to CIN 28. G.Bernard MUFFS catch, and recovers at CIN 28. G.Bernard to CIN 39 for 11 yards (C.Board).",2.0,0.0,28.0,33.0,0.0,65.0,0:08,12.0,Kickoff Return (Offense),,,,,10.0,39.0,4.0,-1.0,61.0,,,,,,,30.133333333333333,49.77777777777778,0.919,0.44,1.0
,,,281100,0.922,28.0,False,False,0.0,14.0,2018-09-14T01:48:25Z,2018-09-30T09:48Z,4010306902794.0,END QUARTER 2,2.0,0.0,0.0,,0.0,0.0,0:00,65.0,End of Half,EH,,,,10.0,65.0,33.0,1.0,65.0,,,,,,,30.0,50.0,0.922,0.44,1.0
,,,282600,0.932,28.0,False,False,0.0,14.0,2018-09-14T02:19:21Z,2018-09-30T09:48Z,4010306902811.0,"J.Tucker kicks 65 yards from BLT 35 to end zone, Touchback.",3.0,0.0,65.0,33.0,0.0,65.0,15:00,53.0,Kickoff,K,1st & 10,CIN 25,1st & 10 at CIN 25,10.0,25.0,4.0,1.0,75.0,,,,,,,30.0,50.0,0.932,0.44,1.0
,,,285000,0.91,28.0,False,False,16.0,14.0,2018-09-14T02:20:10Z,2018-09-30T09:48Z,4010306902826.0,(15:00) (Shotgun) A.Dalton pass short middle to T.Eifert to CIN 41 for 16 yards (E.Weddle; P.Onwuasor).,3.0,10.0,25.0,4.0,1.0,75.0,15:00,24.0,Pass Reception,REC,1st & 10,CIN 41,1st & 10 at CIN 41,10.0,41.0,4.0,1.0,59.0,1st & 10,CIN 25,1st & 10 at CIN 25,,,,30.0,50.0,0.91,0.44,1.0
,,,287600,0.894,28.0,False,False,0.0,14.0,2018-09-14T02:20:43Z,2018-09-30T09:48Z,4010306902850.0,(14:27) (Shotgun) A.Dalton pass incomplete short right to J.Malone (T.Suggs). {tipped at the line of scrimmage},3.0,10.0,41.0,4.0,1.0,59.0,14:27,3.0,Pass Incompletion,,2nd & 10,CIN 41,2nd & 10 at CIN 41,10.0,41.0,4.0,2.0,59.0,1st & 10,CIN 41,1st & 10 at CIN 41,,,,29.45,50.916666666666664,0.894,0.44,1.0
,,,290800,0.89,28.0,False,False,-10.0,14.0,2018-09-14T02:21:15Z,2018-09-30T09:48Z,4010306902876.0,"(14:24) (Shotgun) J.Mixon right end to CIN 47 for 6 yards (E.Weddle). PENALTY on CIN-Al.Redmond, Offensive Holding, 10 yards, enforced at CIN 41 - No Play.",3.0,10.0,41.0,4.0,2.0,59.0,14:24,5.0,Rush,RUSH,2nd & 20,CIN 31,2nd & 20 at CIN 31,20.0,31.0,4.0,2.0,69.0,2nd & 10,CIN 41,2nd & 10 at CIN 41,,,,29.4,51.0,0.89,0.44,1.0
,,,293400,0.887,28.0,False,False,0.0,14.0,2018-09-14T02:22:17Z,2018-09-30T09:48Z,4010306902908.0,(13:58) (Shotgun) A.Dalton pass incomplete short left [K.Young]. {thrown away},3.0,20.0,31.0,4.0,2.0,69.0,13:58,3.0,Pass Incompletion,,3rd & 20,CIN 31,3rd & 20 at CIN 31,20.0,31.0,4.0,3.0,69.0,2nd & 20,CIN 31,2nd & 20 at CIN 31,,,,28.96666666666667,51.72222222222223,0.887,0.44,1.0
,,,296000,0.883,28.0,False,False,0.0,14.0,2018-09-14T02:23:12Z,2018-09-30T09:48Z,4010306902934.0,(13:50) (Shotgun) A.Dalton pass incomplete short middle to G.Bernard (B.Urban). {tipped at the line of scrimmage},3.0,20.0,31.0,4.0,3.0,69.0,13:50,3.0,Pass Incompletion,,4th & 20,CIN 31,4th & 20 at CIN 31,20.0,31.0,4.0,4.0,69.0,3rd & 20,CIN 31,3rd & 20 at CIN 31,,,,28.833333333333336,51.944444444444436,0.883,0.44,1.0
,,,297900,0.854,28.0,False,False,0.0,14.0,2018-09-14T02:23:53Z,2018-09-30T09:48Z,4010306902960.0,"(13:44) K.Huber punts 34 yards to BLT 35, Center-C.Harris, downed by CIN-C.Fejedelem.",3.0,20.0,31.0,4.0,4.0,69.0,13:44,52.0,Punt,PUNT,1st & 10,BAL 35,1st & 10 at BAL 35,10.0,65.0,33.0,1.0,65.0,4th & 20,CIN 31,4th & 20 at CIN 31,,,,28.733333333333334,52.11111111111111,0.854,0.44,1.0
,,,300300,0.861,28.0,False,False,25.0,14.0,2018-09-14T02:26:42Z,2018-09-30T09:48Z,4010306902979.0,(13:36) J.Flacco pass deep left to M.Williams to CIN 40 for 25 yards (J.Bates).,3.0,10.0,65.0,33.0,1.0,65.0,13:36,24.0,Pass Reception,REC,1st & 10,CIN 40,1st & 10 at CIN 40,10.0,40.0,33.0,1.0,40.0,1st & 10,BAL 35,1st & 10 at BAL 35,,,,28.6,52.33333333333333,0.861,0.44,1.0
,,,302400,0.85,28.0,False,False,3.0,14.0,2018-09-14T02:27:08Z,2018-09-30T09:48Z,4010306903003.0,(13:10) (Shotgun) A.Collins up the middle to CIN 37 for 3 yards (J.Evans; G.Atkins).,3.0,10.0,40.0,33.0,1.0,40.0,13:10,5.0,Rush,RUSH,2nd & 7,CIN 37,2nd & 7 at CIN 37,7.0,37.0,33.0,2.0,37.0,1st & 10,CIN 40,1st & 10 at CIN 40,,,,28.166666666666664,53.055555555555564,0.85,0.44,1.0
,,,305500,0.85,28.0,False,False,0.0,14.0,2018-09-14T02:27:36Z,2018-09-30T09:48Z,4010306903024.0,(12:43) (Shotgun) J.Flacco pass incomplete short middle to N.Boyle (J.Willis).,3.0,7.0,37.0,33.0,2.0,65.0,12:43,3.0,Pass Incompletion,,1st & 10,CIN 37,1st & 10 at CIN 37,10.0,37.0,33.0,1.0,37.0,2nd & 7,CIN 37,2nd & 7 at CIN 37,,,,27.71666666666667,53.80555555555555,0.85,0.44,1.0
,,,308100,0.858,28.0,False,False,0.0,14.0,2018-09-14T02:28:15Z,2018-09-30T09:48Z,4010306903055.0,(12:40) (Shotgun) J.Flacco pass incomplete short middle to W.Snead IV (C.Dunlap). {knocked down at the line of scrimmage},3.0,7.0,37.0,33.0,3.0,65.0,12:40,3.0,Pass Incompletion,,1st & 10,CIN 37,1st & 10 at CIN 37,10.0,37.0,33.0,1.0,37.0,3rd & 7,CIN 37,3rd & 7 at CIN 37,,,,27.666666666666664,53.8888888888889,0.858,0.44,1.0
,,,310000,0.861,28.0,True,False,55.0,17.0,2018-09-14T02:28:56Z,2018-09-30T09:48Z,4010306903081.0,Justin Tucker 55 Yd Field Goal ,3.0,7.0,37.0,33.0,4.0,37.0,12:30,59.0,Field Goal Good,FG,,,,10.0,0.0,33.0,-1.0,65.0,4th & 7,CIN 37,4th & 7 at CIN 37,Field Goal,field-goal,FG,27.5,54.16666666666667,0.861,0.44,1.0
,,,312200,0.865,28.0,False,False,20.0,17.0,2018-09-14T02:31:56Z,2018-09-30T09:48Z,4010306903100.0,J.Tucker kicks 61 yards from BLT 35 to CIN 4. A.Erickson to CIN 24 for 20 yards (T.Williams; C.Board). BLT-C.Clark was injured during the play.,3.0,0.0,4.0,33.0,0.0,65.0,12:30,12.0,Kickoff Return (Offense),,,,,10.0,24.0,4.0,-1.0,76.0,,,,,,,27.5,54.16666666666667,0.865,0.44,1.0
,,,314700,0.875,28.0,False,False,7.0,17.0,2018-09-14T02:32:54Z,2018-09-30T09:48Z,4010306903122.0,(12:25) (Shotgun) J.Mixon right guard to CIN 31 for 7 yards (M.Humphrey).,3.0,10.0,24.0,4.0,1.0,76.0,12:25,5.0,Rush,RUSH,2nd & 3,CIN 31,2nd & 3 at CIN 31,3.0,31.0,4.0,2.0,70.0,1st & 10,CIN 24,1st & 10 at CIN 24,,,,27.416666666666664,54.305555555555564,0.875,0.44,1.0
,,,317100,0.857,28.0,False,False,6.0,17.0,2018-09-14T02:33:35Z,2018-09-30T09:48Z,4010306903147.0,(11:45) A.Dalton pass short left to T.Kroft to CIN 37 for 6 yards (P.Onwuasor).,3.0,3.0,31.0,4.0,2.0,69.0,11:45,24.0,Pass Reception,REC,1st & 10,CIN 37,1st & 10 at CIN 37,10.0,37.0,4.0,1.0,63.0,2nd & 3,CIN 31,2nd & 3 at CIN 31,,,,26.75,55.41666666666667,0.857,0.44,1.0
,,,319200,0.866,28.0,False,False,-2.0,17.0,2018-09-14T02:34:21Z,2018-09-30T09:48Z,4010306903171.0,(10:58) (Shotgun) J.Mixon left tackle to CIN 35 for -2 yards (K.Young).,3.0,10.0,37.0,4.0,1.0,63.0,10:58,5.0,Rush,RUSH,2nd & 12,CIN 35,2nd & 12 at CIN 35,12.0,35.0,4.0,2.0,65.0,1st & 10,CIN 37,1st & 10 at CIN 37,,,,25.96666666666667,56.72222222222222,0.866,0.44,1.0
,,,321600,0.856,28.0,False,False,5.0,17.0,2018-09-14T02:35:06Z,2018-09-30T09:48Z,4010306903192.0,(10:13) (Shotgun) A.Dalton pass short middle to T.Boyd to CIN 40 for 5 yards (T.Jefferson).,3.0,12.0,35.0,4.0,2.0,65.0,10:13,24.0,Pass Reception,REC,3rd & 7,CIN 40,3rd & 7 at CIN 40,7.0,40.0,4.0,3.0,60.0,2nd & 12,CIN 35,2nd & 12 at CIN 35,,,,25.21666666666667,57.97222222222223,0.856,0.44,1.0
,,,323900,0.793,28.0,False,False,-5.0,17.0,2018-09-14T02:35:51Z,2018-09-30T09:48Z,4010306903216.0,"(9:30) (Shotgun) PENALTY on CIN-C.Glenn, False Start, 5 yards, enforced at CIN 40 - No Play.",3.0,7.0,40.0,4.0,3.0,60.0,9:30,8.0,Penalty,PEN,3rd & 12,CIN 35,3rd & 12 at CIN 35,12.0,35.0,4.0,3.0,65.0,3rd & 7,CIN 40,3rd & 7 at CIN 40,,,,24.5,59.166666666666664,0.793,0.44,1.0
,,,326100,0.853,28.0,False,False,0.0,17.0,2018-09-14T02:36:23Z,2018-09-30T09:48Z,4010306903239.0,(9:23) (Shotgun) A.Dalton pass incomplete deep left to T.Boyd (M.Humphrey) [Z.Smith].,3.0,12.0,35.0,4.0,3.0,76.0,9:23,3.0,Pass Incompletion,,2nd & 7,CIN 35,2nd & 7 at CIN 35,7.0,35.0,33.0,2.0,65.0,3rd & 12,CIN 35,3rd & 12 at CIN 35,,,,24.383333333333333,59.36111111111111,0.853,0.44,1.0
,,,328000,0.86,28.0,False,False,0.0,17.0,2018-09-14T02:36:58Z,2018-09-30T09:48Z,4010306903261.0,"(9:17) K.Huber punts 44 yards to BLT 21, Center-C.Harris, fair catch by J.Grant.",3.0,12.0,35.0,4.0,4.0,65.0,9:17,52.0,Punt,PUNT,1st & 10,BAL 21,1st & 10 at BAL 21,10.0,79.0,33.0,1.0,79.0,4th & 12,CIN 35,4th & 12 at CIN 35,,,,24.28333333333333,59.52777777777778,0.86,0.44,1.0
,,,330100,0.818,28.0,False,False,3.0,17.0,2018-09-14T02:39:54Z,2018-09-30T09:48Z,4010306903280.0,(9:10) A.Collins right guard to BLT 24 for 3 yards (J.Evans; S.Williams).,3.0,10.0,79.0,33.0,1.0,79.0,9:10,5.0,Rush,RUSH,2nd & 7,BAL 24,2nd & 7 at BAL 24,7.0,76.0,33.0,2.0,76.0,1st & 10,BAL 21,1st & 10 at BAL 21,,,,24.166666666666664,59.72222222222223,0.818,0.44,1.0
,,,333000,0.829,28.0,False,False,24.0,17.0,2018-09-14T02:40:32Z,2018-09-30T09:48Z,4010306903301.0,(8:32) J.Flacco pass short right to A.Collins pushed ob at BLT 48 for 24 yards (R.Glasgow).,3.0,7.0,76.0,33.0,2.0,76.0,8:32,24.0,Pass Reception,REC,1st & 10,BAL 48,1st & 10 at BAL 48,10.0,52.0,33.0,1.0,52.0,2nd & 7,BAL 24,2nd & 7 at BAL 24,,,,23.53333333333333,60.77777777777777,0.829,0.44,1.0
,,,335100,0.816,28.0,False,False,3.0,17.0,2018-09-14T02:41:20Z,2018-09-30T09:48Z,4010306903330.0,(7:51) (Shotgun) J.Allen right tackle to CIN 49 for 3 yards (J.Evans).,3.0,10.0,52.0,33.0,1.0,52.0,7:51,5.0,Rush,RUSH,2nd & 7,CIN 49,2nd & 7 at CIN 49,7.0,49.0,33.0,2.0,49.0,1st & 10,BAL 48,1st & 10 at BAL 48,,,,22.85,61.916666666666664,0.816,0.44,1.0
,,,337500,0.874,28.0,False,False,5.0,17.0,2018-09-14T02:41:43Z,2018-09-30T09:48Z,4010306903351.0,(7:28) J.Flacco pass short right to C.Moore to CIN 44 for 5 yards (D.Kirkpatrick).,3.0,7.0,49.0,33.0,2.0,49.0,7:28,24.0,Pass Reception,REC,3rd & 2,CIN 44,3rd & 2 at CIN 44,2.0,44.0,33.0,3.0,44.0,2nd & 7,CIN 49,2nd & 7 at CIN 49,,,,22.46666666666667,62.55555555555555,0.874,0.44,1.0
,,,339700,0.882,28.0,False,False,0.0,17.0,2018-09-14T02:42:23Z,2018-09-30T09:48Z,4010306903375.0,"(6:48) J.Flacco pass incomplete short right to J.Allen (N.Vigil, C.Dunlap).",3.0,2.0,44.0,33.0,3.0,44.0,6:48,3.0,Pass Incompletion,,4th & 2,CIN 44,4th & 2 at CIN 44,2.0,44.0,33.0,4.0,44.0,3rd & 2,CIN 44,3rd & 2 at CIN 44,,,,21.8,63.66666666666667,0.882,0.44,1.0
,,,342100,0.915,28.0,False,False,1.0,17.0,2018-09-14T02:43:07Z,2018-09-30T09:48Z,4010306903397.0,(6:45) (Shotgun) J.Flacco pass short middle to J.Allen to CIN 43 for 1 yard (D.Dennard).,3.0,2.0,44.0,33.0,4.0,44.0,6:45,24.0,Pass Reception,REC,3rd & 8,CIN 43,3rd & 8 at CIN 43,8.0,43.0,4.0,3.0,57.0,4th & 2,CIN 44,4th & 2 at CIN 44,,,,21.75,63.74999999999999,0.915,0.44,1.0
,,,344500,0.926,28.0,False,False,8.0,17.0,2018-09-14T02:46:41Z,2018-09-30T09:48Z,4010306903421.0,(6:35) (Shotgun) A.Dalton pass short right to G.Bernard to BLT 49 for 8 yards (K.Young).,3.0,10.0,43.0,4.0,1.0,57.0,6:35,24.0,Pass Reception,REC,2nd & 2,BAL 49,2nd & 2 at BAL 49,2.0,51.0,4.0,2.0,49.0,1st & 10,CIN 43,1st & 10 at CIN 43,,,,21.583333333333332,64.02777777777777,0.926,0.44,1.0
,,,346600,0.903,28.0,False,False,10.0,17.0,2018-09-14T02:47:23Z,2018-09-30T09:48Z,4010306903445.0,(5:53) G.Bernard right tackle to BLT 39 for 10 yards (E.Weddle).,3.0,2.0,51.0,4.0,2.0,49.0,5:53,5.0,Rush,RUSH,1st & 10,BAL 39,1st & 10 at BAL 39,10.0,61.0,4.0,1.0,39.0,2nd & 2,BAL 49,2nd & 2 at BAL 49,,,,20.883333333333333,65.19444444444444,0.903,0.44,1.0
,,,348700,0.906,28.0,False,False,2.0,17.0,2018-09-14T02:48:01Z,2018-09-30T09:48Z,4010306903466.0,(5:16) (Shotgun) G.Bernard right guard to BLT 37 for 2 yards (T.Jefferson).,3.0,10.0,61.0,4.0,1.0,39.0,5:16,5.0,Rush,RUSH,3rd & 9,BAL 37,3rd & 9 at BAL 37,9.0,63.0,4.0,3.0,38.0,1st & 10,BAL 39,1st & 10 at BAL 39,,,,20.266666666666666,66.22222222222223,0.906,0.44,1.0
,,,350900,0.938,28.0,False,False,0.0,17.0,2018-09-14T02:48:25Z,2018-09-30T09:48Z,4010306903487.0,(4:52) (Shotgun) A.Dalton pass incomplete short right to J.Ross.,3.0,8.0,63.0,4.0,2.0,7.0,4:52,3.0,Pass Incompletion,,3rd & 8,BAL 37,3rd & 8 at BAL 37,8.0,63.0,4.0,3.0,38.0,2nd & 8,BAL 37,2nd & 8 at BAL 37,,,,19.866666666666667,66.88888888888889,0.938,0.44,1.0
,,,353000,0.931,28.0,False,False,0.0,17.0,2018-09-14T02:49:18Z,2018-09-30T09:48Z,4010306903509.0,Timeout #1 by CIN at 04:48.,3.0,8.0,93.0,4.0,3.0,7.0,4:48,21.0,Timeout,TO,3rd & 8,BAL 7,3rd & 8 at BAL 7,8.0,93.0,4.0,3.0,7.0,,,,,,,19.8,67.0,0.931,0.44,1.0
,,,355200,0.889,28.0,False,False,0.0,17.0,2018-09-14T02:52:05Z,2018-09-30T09:48Z,4010306903530.0,(4:48) (Shotgun) A.Dalton pass incomplete short right to T.Eifert.,3.0,8.0,63.0,4.0,3.0,25.0,4:48,3.0,Pass Incompletion,,1st & 10,BAL 37,1st & 10 at BAL 37,10.0,63.0,4.0,1.0,37.0,3rd & 8,BAL 37,3rd & 8 at BAL 37,,,,19.8,67.0,0.889,0.44,1.0
,,,357100,0.881,28.0,False,False,0.0,17.0,2018-09-14T02:52:43Z,2018-09-30T09:48Z,4010306903552.0,"(4:44) K.Huber punts 28 yards to BLT 9, Center-C.Harris, downed by CIN-J.Evans.",3.0,8.0,63.0,4.0,4.0,37.0,4:44,52.0,Punt,PUNT,1st & 10,BAL 9,1st & 10 at BAL 9,10.0,91.0,33.0,1.0,91.0,4th & 8,BAL 37,4th & 8 at BAL 37,,,,19.733333333333334,67.11111111111111,0.881,0.44,1.0
,,,359500,0.937,28.0,False,False,6.0,17.0,2018-09-14T02:53:41Z,2018-09-30T09:48Z,4010306903571.0,(4:37) (Shotgun) J.Flacco pass short left to M.Crabtree to BLT 15 for 6 yards (W.Jackson).,3.0,10.0,91.0,33.0,1.0,91.0,4:37,24.0,Pass Reception,REC,2nd & 4,BAL 15,2nd & 4 at BAL 15,4.0,85.0,33.0,2.0,85.0,1st & 10,BAL 9,1st & 10 at BAL 9,,,,19.616666666666667,67.30555555555556,0.937,0.44,1.0
,,,361900,0.856,28.0,False,False,17.0,17.0,2018-09-14T02:54:04Z,2018-09-30T09:48Z,4010306903595.0,(4:13) (Shotgun) J.Flacco pass short middle to N.Boyle to BLT 32 for 17 yards (J.Bates) [C.Lawson].,3.0,4.0,85.0,33.0,2.0,85.0,4:13,24.0,Pass Reception,REC,1st & 10,BAL 32,1st & 10 at BAL 32,10.0,68.0,4.0,1.0,68.0,2nd & 4,BAL 15,2nd & 4 at BAL 15,,,,19.21666666666667,67.97222222222221,0.856,0.44,1.0
,,,364000,0.848,28.0,False,False,6.0,17.0,2018-09-14T02:54:32Z,2018-09-30T09:48Z,4010306903619.0,(3:45) (Shotgun) A.Collins left guard to BLT 38 for 6 yards (C.Lawson).,3.0,10.0,68.0,33.0,1.0,68.0,3:45,5.0,Rush,RUSH,2nd & 4,BAL 38,2nd & 4 at BAL 38,4.0,62.0,33.0,2.0,62.0,1st & 10,BAL 32,1st & 10 at BAL 32,,,,18.75,68.75,0.848,0.44,1.0
,,,366400,0.859,28.0,False,False,6.0,17.0,2018-09-14T02:54:56Z,2018-09-30T09:48Z,4010306903640.0,(3:21) (Shotgun) J.Flacco pass short left to J.Allen to BLT 44 for 6 yards (N.Vigil) [G.Atkins].,3.0,4.0,62.0,33.0,2.0,62.0,3:21,24.0,Pass Reception,REC,1st & 10,BAL 44,1st & 10 at BAL 44,10.0,56.0,33.0,1.0,56.0,2nd & 4,BAL 38,2nd & 4 at BAL 38,,,,18.35,69.41666666666666,0.859,0.44,1.0
,,,368500,0.911,28.0,False,False,3.0,17.0,2018-09-14T02:55:29Z,2018-09-30T09:48Z,4010306903664.0,(2:48) J.Allen right tackle to BLT 47 for 3 yards (N.Vigil; H.Nickerson).,3.0,10.0,56.0,33.0,1.0,56.0,2:48,5.0,Rush,RUSH,2nd & 7,BAL 47,2nd & 7 at BAL 47,7.0,53.0,33.0,2.0,53.0,1st & 10,BAL 44,1st & 10 at BAL 44,,,,17.8,70.33333333333334,0.911,0.44,1.0
,,,372200,0.89,28.0,False,False,1.0,17.0,2018-09-14T02:56:09Z,2018-09-30T09:48Z,4010306903685.0,(2:08) J.Flacco pass deep middle intended for J.Brown INTERCEPTED by S.Williams [C.Dunlap] at CIN 24. S.Williams to CIN 25 for 1 yard (J.Brown).,3.0,7.0,53.0,33.0,2.0,53.0,2:08,26.0,Pass Interception Return,INTR,1st & 10,CIN 25,1st & 10 at CIN 25,10.0,25.0,4.0,1.0,25.0,2nd & 7,BAL 47,2nd & 7 at BAL 47,,,,17.133333333333333,71.44444444444444,0.89,0.44,1.0
,,,374600,0.929,28.0,False,False,-1.0,17.0,2018-09-14T02:59:18Z,2018-09-30T09:48Z,4010306903722.0,(2:00) (Shotgun) A.Dalton pass short right to G.Bernard to CIN 24 for -1 yards (T.Young).,3.0,10.0,25.0,4.0,1.0,75.0,2:00,24.0,Pass Reception,REC,2nd & 11,CIN 24,2nd & 11 at CIN 24,11.0,24.0,4.0,2.0,76.0,1st & 10,CIN 25,1st & 10 at CIN 25,,,,17.0,71.66666666666667,0.929,0.44,1.0
,,,377000,0.935,28.0,False,False,18.0,17.0,2018-09-14T02:59:56Z,2018-09-30T09:48Z,4010306903746.0,(1:22) (Shotgun) A.Dalton pass short middle to A.Green to CIN 42 for 18 yards (B.Carr).,3.0,11.0,24.0,4.0,2.0,76.0,1:22,24.0,Pass Reception,REC,1st & 10,CIN 42,1st & 10 at CIN 42,10.0,42.0,4.0,1.0,58.0,2nd & 11,CIN 24,2nd & 11 at CIN 24,,,,16.366666666666667,72.72222222222223,0.935,0.44,1.0
,,,379400,0.932,28.0,False,False,7.0,17.0,2018-09-14T03:00:27Z,2018-09-30T09:48Z,4010306903770.0,(:52) (Shotgun) A.Dalton pass short middle to T.Eifert to CIN 49 for 7 yards (T.Jefferson).,3.0,10.0,42.0,4.0,1.0,58.0,0:52,24.0,Pass Reception,REC,2nd & 3,CIN 49,2nd & 3 at CIN 49,3.0,49.0,4.0,2.0,51.0,1st & 10,CIN 42,1st & 10 at CIN 42,,,,15.866666666666667,73.55555555555556,0.932,0.44,1.0
,,,381500,0.933,28.0,False,False,1.0,17.0,2018-09-14T03:01:02Z,2018-09-30T09:48Z,4010306903794.0,(:17) (Shotgun) G.Bernard right guard to 50 for 1 yard (B.Urban).,3.0,3.0,49.0,4.0,2.0,51.0,0:17,5.0,Rush,RUSH,3rd & 2,50,3rd & 2 at 50,2.0,50.0,4.0,3.0,50.0,2nd & 3,CIN 49,2nd & 3 at CIN 49,,,,15.283333333333333,74.52777777777777,0.933,0.44,1.0
,,,383200,0.881,28.0,False,False,0.0,17.0,2018-09-14T03:05:34Z,2018-09-30T09:48Z,4010306903815.0,END QUARTER 3,3.0,0.0,0.0,,2.0,87.0,0:00,2.0,End Period,EP,2nd & 10,BAL 13,2nd & 10 at BAL 13,10.0,87.0,33.0,2.0,50.0,,,,,,,15.0,75.0,0.881,0.44,1.0
,,,385400,0.912,28.0,False,False,0.0,17.0,2018-09-14T03:04:05Z,2018-09-30T09:48Z,4010306903832.0,(15:00) (Shotgun) A.Dalton pass incomplete short right to T.Boyd.,4.0,2.0,50.0,4.0,3.0,87.0,15:00,3.0,Pass Incompletion,,2nd & 10,50,2nd & 10 at 50,10.0,50.0,33.0,2.0,50.0,3rd & 2,50,3rd & 2 at 50,,,,15.0,75.0,0.912,0.44,1.0
,,,387300,0.924,28.0,False,False,0.0,17.0,2018-09-14T03:04:42Z,2018-09-30T09:48Z,4010306903854.0,"(14:56) K.Huber punts 37 yards to BLT 13, Center-C.Harris, fair catch by J.Grant.",4.0,2.0,50.0,4.0,4.0,50.0,14:56,52.0,Punt,PUNT,1st & 10,BAL 13,1st & 10 at BAL 13,10.0,87.0,33.0,1.0,87.0,4th & 2,50,4th & 2 at 50,,,,14.933333333333334,75.1111111111111,0.924,0.44,1.0
,,,389500,0.892,28.0,False,False,0.0,17.0,2018-09-14T03:05:34Z,2018-09-30T09:48Z,4010306903873.0,(14:50) (Shotgun) J.Flacco pass incomplete deep middle to N.Boyle.,4.0,10.0,87.0,33.0,1.0,87.0,14:50,3.0,Pass Incompletion,,2nd & 10,BAL 13,2nd & 10 at BAL 13,10.0,87.0,33.0,2.0,87.0,1st & 10,BAL 13,1st & 10 at BAL 13,,,,14.833333333333334,75.27777777777777,0.892,0.44,1.0
